broad_category,shallow_category_name,Type,Color,Pattern Type,Length,Fit Type,Neckline,Sleeve Length,Sleeve Type,Hem Shaped,Waist Line,Details,Style
TOPS,Women T-Shirts,-,black,letter|car,long,oversized,round neck,long sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,black,letter|tie dye,long,oversized,round neck,short sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,black,halloween,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,black,butterfly|slogan,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women Blouses,tunic,army green,plain,long,oversized,collar,long sleeve,drop shoulder,-,-,pocket|button front,casual
TOPS,Women T-Shirts,-,army green,halloween,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,apricot,butterfly|fire,long,regular fit,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,apricot,graphic|slogan,long,regular fit,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women T-Shirts,-,apricot,letter|car,long,oversized,round neck,half sleeve,drop shoulder,-,-,-,casual
TOPS,Women Blouses,top,apricot,plain,long,regular fit,v neck,long sleeve,bishop sleeve,-,-,-,casual
TOPS,Women Tops,-,white,plain,crop,slim fit,asymmetrical neck,long sleeve,regular sleeve,-,-,asymmetrical,casual
TOPS,Women Knit Tops,-,white,plain,crop,slim fit,collar,short sleeve,regular sleeve,-,-,rib-knit,casual
TOPS,Women Knit Tops,-,white,plain,crop,slim fit,halter|stand collar,sleeveless,-,-,-,rib-knit,casual
TOPS,Women Tops,-,white,plain,crop,slim fit,off the shoulder,sleeveless,-,-,-,criss cross|wrap|rib-knit,casual
TOPS,Women Knit Tops,-,white,plain,crop,regular fit,polo,short sleeve,regular sleeve,-,-,button,casual
TOPS,Women Tank Tops & Camis,tank,white,plain,crop,slim fit,round neck,-,-,-,-,zipper,casual
TOPS,Women Tank Tops & Camis,tank,white,figure,crop,slim fit,round neck,-,-,-,-,rib-knit,casual
TOPS,Women T-Shirts,-,white,letter|colorblock,crop,slim fit,round neck,short sleeve,raglan sleeve,-,-,rib-knit,casual
TOPS,Women T-Shirts,-,white,plain,crop,regular fit,round neck,short sleeve,regular sleeve,-,-,-,casual
TOPS,Women Knit Tops,-,white,plain,crop,slim fit,round neck,sleeveless,-,-,-,-,casual
TOPS,Women Knit Tops,-,white,plain,crop,slim fit,scoop neck,sleeveless,-,-,-,-,casual
TOPS,Women Tank Tops & Camis,cami,white,plain,crop,slim fit,spaghetti strap,-,-,-,-,knot|ruched bust,casual
